datetime,prediction,upper,lower
2021-12-01 00:00:00,17.346223267179788,20.815467920615745,13.87697861374383
2021-12-01 00:15:00,14.876735879761458,17.85208305571375,11.901388703809168
2021-12-01 00:30:00,7.307849503276954,8.769419403932345,5.846279602621564
2021-12-01 00:45:00,8.513091080460827,10.215709296552992,6.810472864368662
2021-12-01 01:00:00,18.60673355060934,22.32808026073121,14.885386840487474
2021-12-01 01:15:00,13.016479857684988,15.619775829221986,10.41318388614799
2021-12-01 01:30:00,10.958493804863577,13.150192565836292,8.766795043890863
2021-12-01 01:45:00,7.581760032311924,9.098112038774309,6.065408025849539
2021-12-01 02:00:00,21.82673147408028,26.192077768896336,17.461385179264223
2021-12-01 02:15:00,18.08344435634048,21.700133227608575,14.466755485072383
2021-12-01 02:30:00,7.1800347086872325,8.616041650424679,5.744027766949786
2021-12-01 02:45:00,15.527683007751753,18.633219609302103,12.422146406201403
2021-12-01 03:00:00,13.125408672800328,15.750490407360392,10.500326938240264
2021-12-01 03:15:00,10.508191233896756,12.609829480676106,8.406552987117406
2021-12-01 03:30:00,11.652245344611423,13.982694413533707,9.321796275689138
2021-12-01 03:45:00,14.71239775700445,17.65487730840534,11.76991820560356
2021-12-01 04:00:00,12.099775340415759,14.51973040849891,9.679820272332607
2021-12-01 04:15:00,21.68237909076823,26.018854908921874,17.345903272614585
2021-12-01 04:30:00,11.334913737515294,13.601896485018353,9.067930990012234
2021-12-01 04:45:00,16.826626831606585,20.1919521979279,13.461301465285269
2021-12-01 05:00:00,20.776926061776294,24.932311274131553,16.621540849421034
2021-12-01 05:15:00,19.333864701950287,23.200637642340343,15.46709176156023
2021-12-01 05:30:00,16.129217116699202,19.35506054003904,12.903373693359363
2021-12-01 05:45:00,21.351491724757683,25.621790069709217,17.081193379806148
2021-12-01 06:00:00,18.8940180443825,22.672821653258996,15.115214435506
2021-12-01 06:15:00,8.531369634682648,10.237643561619176,6.825095707746119
2021-12-01 06:30:00,14.835487234730445,17.802584681676535,11.868389787784357
2021-12-01 06:45:00,16.276821374619697,19.532185649543635,13.021457099695759
2021-12-01 07:00:00,21.748838084240333,26.0986057010884,17.399070467392267
2021-12-01 07:15:00,26.324047196760564,31.588856636112673,21.059237757408454
2021-12-01 07:30:00,15.713925117742379,18.856710141290854,12.571140094193904
2021-12-01 07:45:00,17.47263639012555,20.96716366815066,13.97810911210044
2021-12-01 08:00:00,26.536551209868442,31.84386145184213,21.229240967894754
2021-12-01 08:15:00,28.893630591557258,34.67235670986871,23.114904473245808
2021-12-01 08:30:00,12.52141374074256,15.025696488891072,10.017130992594048
2021-12-01 08:45:00,27.339631945431584,32.8075583345179,21.87170555634527
2021-12-01 09:00:00,25.92151593363362,31.105819120360344,20.7372127469069
2021-12-01 09:15:00,34.16103242664043,40.99323891196852,27.328825941312346
2021-12-01 09:30:00,49.563107484070684,59.47572898088482,39.65048598725655
2021-12-01 09:45:00,43.952309585008194,52.74277150200983,35.16184766800656
2021-12-01 10:00:00,45.55253829026281,54.66304594831537,36.44203063221025
2021-12-01 10:15:00,44.430703854639646,53.316844625567576,35.544563083711715
2021-12-01 10:30:00,61.04716715981345,73.25660059177613,48.83773372785076
2021-12-01 10:45:00,55.26588557901361,66.31906269481634,44.212708463210895
2021-12-01 11:00:00,86.93942784104085,104.32731340924902,69.55154227283269
2021-12-01 11:15:00,71.47629889387258,85.77155867264709,57.181039115098066
2021-12-01 11:30:00,91.8640995225127,110.23691942701524,73.49127961801017
2021-12-01 11:45:00,88.24867487570322,105.89840985084386,70.59893990056257
2021-12-01 12:00:00,72.9413915121014,87.52966981452168,58.353113209681126
2021-12-01 12:15:00,100.23471281847343,120.28165538216811,80.18777025477874
2021-12-01 12:30:00,127.7151536037203,153.25818432446434,102.17212288297624
2021-12-01 12:45:00,112.98903190179738,135.58683828215683,90.3912255214379
2021-12-01 13:00:00,133.61212286142103,160.33454743370524,106.88969828913683
2021-12-01 13:15:00,120.07248808112448,144.08698569734938,96.05799046489959
2021-12-01 13:30:00,107.57320264955864,129.08784317947035,86.05856211964692
2021-12-01 13:45:00,119.05432100851617,142.8651852102194,95.24345680681294
2021-12-01 14:00:00,147.83450111964038,177.40140134356844,118.2676008957123
2021-12-01 14:15:00,110.91822667960331,133.10187201552395,88.73458134368265
2021-12-01 14:30:00,155.7506734565875,186.900808147905,124.60053876527
2021-12-01 14:45:00,125.92986978070778,151.1158437368493,100.74389582456622
2021-12-01 15:00:00,209.12668832608105,250.95202599129726,167.30135066086484
2021-12-01 15:15:00,167.9997784092327,201.59973409107923,134.39982272738618
2021-12-01 15:30:00,169.22201408771377,203.06641690525652,135.37761127017103
